Feature,Fraud_Median,NonFraud_Median,Median_Difference,P_Value,Significance
total_deductible,26359.0,200.0,26159.0,5.033816220240776e-212,Significant
reimbursement_per_beneficiary,2718.153289806327,0.0,2718.153289806327,7.311625461023514e-164,Significant
avg_reimbursement_per_claim,1933.9773691654882,0.0,1933.9773691654882,3.8096021324957575e-153,Significant
claims_per_beneficiary,1.1221031245621411,0.0,1.1221031245621411,3.1333999458228926e-148,Significant
inpatient_claim_mix,0.15189543270436465,0.0,0.15189543270436465,5.825196111454063e-147,Significant
overall_high_cost_rate,0.0998366013071895,0.0,0.0998366013071895,2.1431944228845166e-136,Significant
total_unique_beneficiaries,117.0,22.0,95.0,1.1943733260968987e-124,Significant
total_reimbursement,416305.0,79595.0,336710.0,1.4329913067452228e-112,Significant
outpatient_claim_mix,0.6492580113269768,0.0,0.6492580113269768,3.8104381641348555e-97,Significant
total_claims,157.0,51.0,106.0,4.797807898192787e-58,Significant
avg_length_of_stay,5.810003840245775,5.0,0.8100038402457752,5.649624714286506e-20,Significant
avg_diagnosis_codes,8.09700176366843,8.2,-0.1029982363315689,0.0066555051230600334,Significant
avg_procedure_codes,0.7330459770114942,0.7142857142857143,0.018760262725779908,0.034670284760784764,Significant
