Provider,inpatient_claims,inpatient_total_reimbursement,inpatient_avg_reimbursement,inpatient_median_reimbursement,inpatient_unique_beneficiaries,avg_length_of_stay,max_length_of_stay,high_cost_inpatient_claims,high_cost_inpatient_rate,outpatient_claims,outpatient_total_reimbursement,outpatient_avg_reimbursement,outpatient_median_reimbursement,outpatient_unique_beneficiaries,high_cost_outpatient_claims,high_cost_outpatient_rate,total_claims,total_reimbursement,avg_reimbursement_per_claim,total_unique_beneficiaries_x,total_unique_beneficiaries_y,total_unique_beneficiaries,claims_per_beneficiary,reimbursement_per_beneficiary,total_high_cost_claims,overall_high_cost_rate,inpatient_claim_mix,outpatient_claim_mix,inpatient_total_deductible,outpatient_total_deductible,total_deductible,avg_diagnosis_codes,avg_procedure_codes,PotentialFraud
PRV51001,5.0,97000.0,19400.0,12000.0,5.0,5.0,14.0,2.0,0.4,20.0,7640.0,382.0,150.0,19.0,5.0,0.25,25.0,104640.0,4185.6,24,24,24,1.0416666666666667,4360.0,7.0,0.28,0.2,0.8,5340.0,0.0,5340.0,7.2,0.6,No
PRV51003,62.0,573000.0,9241.935483870968,7000.0,53.0,5.161290322580645,27.0,3.0,0.04838709677419355,70.0,32670.0,466.7142857142857,90.0,66.0,15.0,0.21428571428571427,132.0,605670.0,4588.409090909091,117,117,117,1.1282051282051282,5176.666666666667,18.0,0.13636363636363635,0.4696969696969697,0.5303030303030303,66216.0,70.0,66286.0,8.112903225806452,0.7741935483870968,Yes
PRV51007,3.0,19000.0,6333.333333333333,6000.0,3.0,5.333333333333333,7.0,0.0,0.0,69.0,14710.0,213.18840579710144,70.0,56.0,3.0,0.043478260869565216,72.0,33710.0,468.19444444444446,58,58,58,1.2413793103448276,581.2068965517242,3.0,0.041666666666666664,0.041666666666666664,0.9583333333333334,3204.0,60.0,3264.0,7.333333333333333,0.3333333333333333,No
PRV51008,2.0,25000.0,12500.0,12500.0,2.0,4.0,5.0,1.0,0.5,41.0,10630.0,259.2682926829268,90.0,34.0,5.0,0.12195121951219512,43.0,35630.0,828.6046511627907,36,36,36,1.1944444444444444,989.7222222222222,6.0,0.13953488372093023,0.046511627906976744,0.9534883720930233,2136.0,180.0,2316.0,7.5,1.0,No
PRV51011,1.0,5000.0,5000.0,5000.0,1.0,5.0,5.0,0.0,0.0,57.0,11630.0,204.03508771929825,70.0,52.0,6.0,0.10526315789473684,58.0,16630.0,286.7241379310345,53,53,53,1.0943396226415094,313.77358490566036,6.0,0.10344827586206896,0.017241379310344827,0.9827586206896551,1068.0,300.0,1368.0,8.0,0.0,No
PRV51021,29.0,269000.0,9275.862068965518,7000.0,23.0,4.758620689655173,17.0,1.0,0.034482758620689655,228.0,79830.0,350.13157894736844,85.0,187.0,32.0,0.14035087719298245,257.0,348830.0,1357.3151750972763,208,208,208,1.2355769230769231,1677.0673076923076,33.0,0.12840466926070038,0.11284046692607004,0.8871595330739299,30972.0,520.0,31492.0,8.517241379310345,0.7586206896551724,Yes
PRV51023,9.0,54000.0,6000.0,4000.0,9.0,3.5555555555555554,10.0,0.0,0.0,27.0,11610.0,430.0,70.0,27.0,4.0,0.14814814814814814,36.0,65610.0,1822.5,35,35,35,1.0285714285714285,1874.5714285714287,4.0,0.1111111111111111,0.25,0.75,8544.0,80.0,8624.0,8.0,0.5555555555555556,No
PRV51024,9.0,61000.0,6777.777777777777,7000.0,9.0,4.333333333333333,10.0,0.0,0.0,30.0,3050.0,101.66666666666667,60.0,29.0,0.0,0.0,39.0,64050.0,1642.3076923076924,38,38,38,1.0263157894736843,1685.5263157894738,0.0,0.0,0.23076923076923078,0.7692307692307693,9612.0,90.0,9702.0,7.111111111111111,0.7777777777777778,No
PRV51025,13.0,86000.0,6615.384615384615,4000.0,12.0,7.0,28.0,0.0,0.0,74.0,32350.0,437.1621621621622,100.0,66.0,11.0,0.14864864864864866,87.0,118350.0,1360.344827586207,76,76,76,1.144736842105263,1557.2368421052631,11.0,0.12643678160919541,0.14942528735632185,0.8505747126436781,13884.0,400.0,14284.0,7.769230769230769,0.9230769230769231,No
PRV51030,82.0,705600.0,8604.878048780487,6000.0,71.0,4.621951219512195,23.0,4.0,0.04878048780487805,89.0,34160.0,383.82022471910113,90.0,78.0,13.0,0.14606741573033707,171.0,739760.0,4326.081871345029,145,145,145,1.1793103448275861,5101.793103448276,17.0,0.09941520467836257,0.47953216374269003,0.52046783625731,86508.0,240.0,86748.0,8.097560975609756,0.6951219512195121,No
